lastUpdateDateTime,leagueId,leagueName,leagueSeason,leagueShortcut,matchDateTime,matchDateTimeUTC,matchID,matchIsFinished,numberOfViewers,group.groupName,location.locationCity,location.locationStadium,team1.shortName,team1.teamIconUrl,team1.teamName,team2.shortName,team2.teamIconUrl,team2.teamName,team1_shortName,team1_teamIconUrl,team1_teamId,team1_teamName,team2_shortName,team2_teamIconUrl,team2_teamId,team2_teamName,location_locationCity,location_locationID,location_locationStadium,group_groupID,group_groupName,group_groupOrderID,goal_comment,goal_goalGetterID,goal_goalGetterName,goal_goalID,goal_isOvertime,goal_isOwnGoal,goal_isPenalty,goal_matchMinute,goal_scoreTeam1,goal_scoreTeam2,result_pointsTeam1,result_pointsTeam2,result_resultDescription,result_resultID,result_resultName,result_resultOrderID,result_resultTypeID
2009-08-15 21:17:44.710,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-15 15:30:00,2009-08-15 15:30:00,5285,True,41500,2. Spieltag,Stuttgart,Mercedes Benz Arena,Stuttgart,https://i.imgur.com/v0tkpNx.png,VfB Stuttgart,Freiburg,https://i.imgur.com/r3mvi0h.png,SC Freiburg,Stuttgart,https://i.imgur.com/v0tkpNx.png,16,VfB Stuttgart,Freiburg,https://i.imgur.com/r3mvi0h.png,112,SC Freiburg,Stuttgart,37,Mercedes Benz Arena ,11539,2. Spieltag,2,,225,,313,False,False,False,53,1,0,4,2,Ergebnis nach Ende der offiziellen Spielzeit,6338,Endergebnis,1,2
2009-08-15 21:16:14.057,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-15 15:30:00,2009-08-15 15:30:00,5286,True,57000,2. Spieltag,Hamburg,HSH Nordbank Arena,HSV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,Hamburger SV,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,Borussia Dortmund,HSV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,100,Hamburger SV,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,7,Borussia Dortmund,Hamburg,27,HSH Nordbank Arena ,11539,2. Spieltag,2,,223,,310,False,False,False,12,3,1,4,1,Ergebnis nach Ende der offiziellen Spielzeit,6340,Endergebnis,1,2
2009-08-16 20:29:04.773,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-16 17:30:00,2009-08-16 17:30:00,5287,True,61673,2. Spieltag,Gelsenkirchen,Veltins Arena,Schalke,https://upload.wikimedia.org/wikipedia/commons/9/97/FC_Schalke_04_Logo.png,FC Schalke 04,Bochum,https://i.imgur.com/5jy3Gfr.png,VfL Bochum,Schalke,https://upload.wikimedia.org/wikipedia/commons/9/97/FC_Schalke_04_Logo.png,9,FC Schalke 04,Bochum,https://i.imgur.com/5jy3Gfr.png,129,VfL Bochum,Gelsenkirchen,33,Veltins Arena,11539,2. Spieltag,2,,255,,361,False,False,False,45,2,0,3,0,Ergebnis nach Ende der offiziellen Spielzeit,6408,Endergebnis,1,2
2009-08-15 21:16:32.357,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-15 15:30:00,2009-08-15 15:30:00,5288,True,28000,2. Spieltag,Leverkusen,BayArena,Leverkusen,https://www.bundesliga-reisefuehrer.de/sites/default/files/B04_Standard_Logo_RGB.png,Bayer Leverkusen,Hoffenheim,https://i.imgur.com/gF0PfEl.png,TSG 1899 Hoffenheim,Leverkusen,https://www.bundesliga-reisefuehrer.de/sites/default/files/B04_Standard_Logo_RGB.png,6,Bayer Leverkusen,Hoffenheim,https://i.imgur.com/gF0PfEl.png,175,TSG 1899 Hoffenheim,Leverkusen,28,BayArena,11539,2. Spieltag,2,,114,,312,False,False,False,67,1,0,1,0,Ergebnis nach Ende der offiziellen Spielzeit,6342,Endergebnis,1,2
2009-08-15 21:21:16.690,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-15 15:30:00,2009-08-15 15:30:00,5289,True,28952,2. Spieltag,Hannover,AWD Arena,Hannover,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,Hannover 96,Mainz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,1. FSV Mainz 05,Hannover,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,55,Hannover 96,Mainz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,81,1. FSV Mainz 05,Hannover,29,AWD Arena,11539,2. Spieltag,2,,219,,305,False,False,False,53,0,1,1,1,Ergebnis nach Ende der offiziellen Spielzeit,6344,Endergebnis,1,2
2009-08-15 21:17:27.983,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-15 18:30:00,2009-08-15 18:30:00,5290,True,48000,2. Spieltag,Köln,Rhein Energie Stadion,Köln,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/1._FC_Koeln_Logo_2014–.svg/296px-1._FC_Koeln_Logo_2014–.svg.png,1. FC Köln,Wolfsburg,https://i.imgur.com/ucqKV4B.png,VfL Wolfsburg,Köln,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/1._FC_Koeln_Logo_2014–.svg/296px-1._FC_Koeln_Logo_2014–.svg.png,65,1. FC Köln,Wolfsburg,https://i.imgur.com/ucqKV4B.png,131,VfL Wolfsburg,Köln,31,Rhein Energie Stadion ,11539,2. Spieltag,2,,215,,301,False,True,False,74,1,2,1,3,Ergebnis nach Ende der offiziellen Spielzeit,6371,Endergebnis,1,2
2009-08-15 21:17:11.970,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-15 15:30:00,2009-08-15 15:30:00,5291,True,49000,2. Spieltag,Frankfurt,Commerzbank Arena,Frankfurt,https://i.imgur.com/X8NFkOb.png,Eintracht Frankfurt,Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,1. FC Nürnberg,Frankfurt,https://i.imgur.com/X8NFkOb.png,91,Eintracht Frankfurt,Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,79,1. FC Nürnberg,Frankfurt,30,Commerzbank Arena,11539,2. Spieltag,2,,218,,304,False,False,False,65,1,1,1,1,Ergebnis nach Ende der offiziellen Spielzeit,6346,Endergebnis,1,2
2009-08-16 20:30:07.757,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-16 15:30:00,2009-08-16 15:30:00,5292,True,41814,2. Spieltag,Mönchengladbach,Borussia Park,Gladbach,https://i.imgur.com/KSIk0Eu.png,Borussia Mönchengladbach,Hertha,https://i.imgur.com/apFwbYZ.png,Hertha BSC,Gladbach,https://i.imgur.com/KSIk0Eu.png,87,Borussia Mönchengladbach,Hertha,https://i.imgur.com/apFwbYZ.png,54,Hertha BSC,Mönchengladbach,32,Borussia Park,11539,2. Spieltag,2,,123,,347,False,False,False,23,1,0,2,1,Ergebnis nach Ende der offiziellen Spielzeit,6406,Endergebnis,1,2
2009-08-24 11:04:48.107,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-23 17:30:00,2009-08-23 17:30:00,5293,True,30000,3. Spieltag,Wolfsburg,Volkswagen Arena,Wolfsburg,https://i.imgur.com/ucqKV4B.png,VfL Wolfsburg,HSV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,Hamburger SV,Wolfsburg,https://i.imgur.com/ucqKV4B.png,131,VfL Wolfsburg,HSV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,100,Hamburger SV,Wolfsburg,20,Volkswagen Arena ,11540,3. Spieltag,3,,73,,477,False,False,False,52,1,2,2,4,Ergebnis nach Ende der offiziellen Spielzeit,6550,Endergebnis,1,2
2009-08-22 18:09:34.423,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,2009-08-22 15:30:00,2009-08-22 15:30:00,5294,True,72100,3. Spieltag,Dortmund,Signal Iduna Park,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,Borussia Dortmund,Stuttgart,https://i.imgur.com/v0tkpNx.png,VfB Stuttgart,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,7,Borussia Dortmund,Stuttgart,https://i.imgur.com/v0tkpNx.png,16,VfB Stuttgart,Dortmund,35,Signal Iduna Park,11540,3. Spieltag,3,,222,,401,False,False,False,27,1,0,1,1,Ergebnis nach Ende der offiziellen Spielzeit,6475,Endergebnis,1,2
