matchID,matchDateTimeUTC,teamID,teamName,opponentID,goalsFor,goalsAgainst,isHome,goalDifference,matchOutcome,matchYear,matchMonth,isWeekend,scoringCategory,matchType,totalGoals,goallessDraw,matchIntensity,isBlowout,points
5275,2009-08-07 20:30:00,16,VfB Stuttgart,131,0,1,False,-1,loss,2009,8,False,low,away,1,False,normal,False,0
5276,2009-08-08 15:30:00,65,1. FC Köln,7,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5277,2009-08-08 15:30:00,9,FC Schalke 04,79,2,1,False,1,win,2009,8,True,normal,away,3,False,normal,False,3
5278,2009-08-09 17:30:00,100,Hamburger SV,112,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5279,2009-08-08 15:30:00,91,Eintracht Frankfurt,134,2,2,False,0,draw,2009,8,True,normal,away,4,False,normal,False,1
5280,2009-08-08 15:30:00,55,Hannover 96,54,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5281,2009-08-08 15:30:00,6,Bayer Leverkusen,81,1,1,False,0,draw,2009,8,True,normal,away,2,False,normal,False,1
5282,2009-08-08 18:30:00,40,FC Bayern München,175,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5283,2009-08-09 15:30:00,87,Borussia Mönchengladbach,129,3,0,False,3,win,2009,8,True,normal,away,3,False,normal,True,3
5284,2009-08-15 15:30:00,134,Werder Bremen,40,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5285,2009-08-15 15:30:00,112,SC Freiburg,16,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5286,2009-08-15 15:30:00,7,Borussia Dortmund,100,1,3,False,-2,loss,2009,8,True,normal,away,4,False,normal,False,0
5287,2009-08-16 17:30:00,129,VfL Bochum,9,0,2,False,-2,loss,2009,8,True,normal,away,2,False,normal,False,0
5288,2009-08-15 15:30:00,175,TSG 1899 Hoffenheim,6,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5289,2009-08-15 15:30:00,81,1. FSV Mainz 05,55,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5290,2009-08-15 18:30:00,131,VfL Wolfsburg,65,2,1,False,1,win,2009,8,True,normal,away,3,False,normal,False,3
5291,2009-08-15 15:30:00,79,1. FC Nürnberg,91,1,1,False,0,draw,2009,8,True,normal,away,2,False,normal,False,1
5292,2009-08-16 15:30:00,54,Hertha BSC,87,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5293,2009-08-23 17:30:00,100,Hamburger SV,131,2,1,False,1,win,2009,8,True,normal,away,3,False,normal,False,3
